director,total_revenue,avg_roi,avg_imdb,movie_count
"Adil El Arbi , Bilall Fallah ,Meera Memon , Sharmeen & Obaid-Chinoy",0.0,0.0,6.3,1
Alan Taylor,644783140.0,279.2842,6.8,1
Ali Selim,0.0,0.0,5.9,1
Anna Boden & Ryan Fleck,1128429839.0,642.388052,6.8,1
Anthony and Joe Russo,6713897363.0,487.56494480000003,8.075,4
Bryan Andrews & Stephan Franck,0.0,0.0,7.4,1
Cate Shortland,379751655.0,31.85821354,6.7,1
Chloe Zhao,402064899.0,70.36648263,6.3,1
Destin Daniel Cretton,432243292.0,188.1621947,7.4,1
Jake Schreier,382400000.0,112.4444444,6.8,1
James Gunn,2482186228.0,308.2441121,7.833333333333333,3
Joe Johnston,370569774.0,164.6926957,6.9,1
Jon Favreau,1209729578.0,265.19627810000003,7.4,2
Jon Watts,3933971962.0,623.7795868666667,7.666666666666667,3
Joss Whedon,2921591778.0,525.74017135,7.65,2
Julius Onah,415100000.0,130.6111111,5.8,1
Justin Benson & Aaron Moorhead,0.0,0.0,8.1,1
Kari Skogland,0.0,0.0,7.1,1
Kat Coiro &Anu Valia,0.0,0.0,5.3,1
"Kate Herron , Justin Benson  & Aaron Moorhead",0.0,0.0,8.2,1
Kenneth Brangh,449326618.0,199.5510787,7.0,1
Louis Leterrier,263427551.0,88.16253643,6.6,1
Matt Shakman,0.0,0.0,7.9,1
"Mohamed Diab , Justin Benson & Aaron Moorhead",0.0,0.0,7.3,1
Nia DaCosta,206112932.0,-23.66187704,5.6,1
Peyton Reed,1618057284.0,240.62436160000001,6.766666666666667,3
"Rhys Thomas, Bert & Bertie",0.0,0.0,7.5,1
Ryan Coogler,2206121997.0,451.53049925,7.0,2
Sam Bailey & Angela Barnes ,0.0,0.0,4.5,1
Sam Raimi,955775804.0,225.0938109,6.9,1
Scott Derrickson,677718395.0,310.7384212,7.5,1
Shane Black,1215439994.0,507.719997,7.1,1
Shawn Levy,1338000000.0,569.0,7.5,1
Sydney Freeland & Catriona McKenzie,0.0,0.0,6.0,1
Taika Waititi,1614945294.0,289.4126198,7.050000000000001,2
Todd Harris,0.0,0.0,6.2,1
